fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,indicador,indicator_name,country,lat,lon,region,currency_pair,year,month,day,year_month
2025-06-04,10000,10001,10000,10001,10001,268070,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,6,4,2025-06
2025-06-02,09999,10000,09976,10000,10000,247614,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,6,2,2025-06
2025-06-01,09992,10003,09992,09999,09999,33146,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,6,1,2025-06
2025-05-31,09991,09996,09990,09992,09992,53641,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,31,2025-05
2025-05-30,09988,09992,09985,09991,09991,171875,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,30,2025-05
2025-05-29,09997,09998,09986,09988,09988,319873,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,29,2025-05
2025-05-28,09996,09998,09993,09997,09997,428397,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,28,2025-05
2025-05-27,10001,10002,09996,09996,09996,31042,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,27,2025-05
2025-05-26,10000,10001,09991,10001,10001,35141,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,26,2025-05
2025-05-25,10000,10002,09998,10000,10000,47218,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,25,2025-05
2025-05-24,09998,10003,09998,10000,10000,445929,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,24,2025-05
2025-05-23,09993,10006,09979,09998,09998,2109145,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,23,2025-05
2025-05-22,10005,10007,09989,09993,09993,148963,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,22,2025-05
2025-05-21,10000,10011,09999,10005,10005,83405,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,21,2025-05
2025-05-20,10005,10005,09998,10000,10000,54084,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,20,2025-05
2025-05-19,10007,10007,10001,10005,10005,179724,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,19,2025-05
2025-05-18,10005,10012,10003,10007,10007,723551,DOLA-USD,Dólar/Peso,Colombia,4.711,-74.0721,América del Sur,COP/USD,2025,5,18,2025-05
