fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,fecha_create,fecha_update
6 may 2025,10006,10009,10006,10009,10009,80229,2025-05-5,2025-05-5
4 may 2025,10002,10007,09986,09991,09991,74438,2025-05-5,2025-05-5
3 may 2025,10005,10008,09997,10002,10002,41453,2025-05-5,2025-05-5
2 may 2025,10001,10009,09999,10005,10005,125093,2025-05-5,2025-05-5
1 may 2025,10006,10008,09999,10001,10001,813280,2025-05-5,2025-05-5
30 abr 2025,09997,10006,09995,10006,10006,366165,2025-05-5,2025-05-5
29 abr 2025,09995,10001,09992,09997,09997,154715,2025-05-5,2025-05-5
28 abr 2025,09996,10000,09992,09995,09995,48683,2025-05-5,2025-05-5
27 abr 2025,09997,09998,09995,09996,09996,292658,2025-05-5,2025-05-5
26 abr 2025,09994,09997,09993,09997,09997,35858,2025-05-5,2025-05-5
25 abr 2025,09995,09998,09992,09994,09994,143553,2025-05-5,2025-05-5
24 abr 2025,09994,10000,09990,09995,09995,362372,2025-05-5,2025-05-5
23 abr 2025,09996,10000,09991,09994,09994,78126,2025-05-5,2025-05-5
22 abr 2025,09988,10000,09986,09996,09996,173390,2025-05-5,2025-05-5
21 abr 2025,09981,09989,09978,09988,09988,651247,2025-05-5,2025-05-5
20 abr 2025,09974,09982,09941,09981,09981,36170,2025-05-5,2025-05-5
19 abr 2025,09987,09988,09970,09974,09974,38536,2025-05-5,2025-05-5
18 abr 2025,09991,09994,09985,09987,09987,120656,2025-05-5,2025-05-5
17 abr 2025,09982,09991,09976,09991,09991,60732,2025-05-5,2025-05-5
16 abr 2025,09985,09989,09980,09982,09982,345141,2025-05-5,2025-05-5
15 abr 2025,09989,09989,09979,09985,09985,660281,2025-05-5,2025-05-5
14 abr 2025,09989,09992,09984,09989,09989,22251,2025-05-5,2025-05-5
13 abr 2025,09981,09990,09980,09989,09989,342637,2025-05-5,2025-05-5
12 abr 2025,09994,09994,09981,09981,09981,33757,2025-05-5,2025-05-5
11 abr 2025,09997,09998,09987,09994,09994,3106196,2025-05-5,2025-05-5
10 abr 2025,09995,09999,09992,09997,09997,1845369,2025-05-5,2025-05-5
9 abr 2025,10010,10012,09965,09995,09995,3056702,2025-05-5,2025-05-5
8 abr 2025,10001,10014,09979,10010,10010,410850,2025-05-5,2025-05-5
7 abr 2025,10002,10004,09994,10001,10001,422808,2025-05-5,2025-05-5
6 abr 2025,09996,10002,09989,10002,10002,1724267,2025-05-5,2025-05-5
5 abr 2025,09987,09996,09987,09996,09996,272354,2025-05-5,2025-05-5
4 abr 2025,09991,09992,09983,09987,09987,65093,2025-05-5,2025-05-5
3 abr 2025,09991,09995,09987,09991,09991,1429633,2025-05-5,2025-05-5
2 abr 2025,09992,10000,09987,09991,09991,2822766,2025-05-5,2025-05-5
1 abr 2025,09988,09998,09981,09992,09992,594588,2025-05-5,2025-05-5
31 mar 2025,09989,10030,09982,09988,09988,267632,2025-05-5,2025-05-5
30 mar 2025,09989,09991,09986,09989,09989,1383840,2025-05-5,2025-05-5
29 mar 2025,09987,09994,09982,09989,09989,3064543,2025-05-5,2025-05-5
28 mar 2025,09978,09988,09978,09987,09987,1424851,2025-05-5,2025-05-5
27 mar 2025,09987,09992,09978,09978,09978,1118653,2025-05-5,2025-05-5
26 mar 2025,09981,09993,09977,09987,09987,2455518,2025-05-5,2025-05-5
25 mar 2025,09980,09984,09970,09981,09981,12756,2025-05-5,2025-05-5
24 mar 2025,09975,09982,09971,09980,09980,936755,2025-05-5,2025-05-5
23 mar 2025,09975,09976,09945,09975,09975,31036,2025-05-5,2025-05-5
22 mar 2025,09976,09978,09971,09975,09975,110132,2025-05-5,2025-05-5
21 mar 2025,09976,09979,09967,09976,09976,2767965,2025-05-5,2025-05-5
20 mar 2025,09976,09980,09966,09976,09976,1941440,2025-05-5,2025-05-5
19 mar 2025,09963,09981,09959,09976,09976,566035,2025-05-5,2025-05-5
18 mar 2025,09969,09969,09953,09963,09963,484979,2025-05-5,2025-05-5
17 mar 2025,09957,09969,09953,09969,09969,137251,2025-05-5,2025-05-5
16 mar 2025,09947,09974,09947,09957,09957,166614,2025-05-5,2025-05-5
15 mar 2025,09970,09973,09919,09947,09947,380118,2025-05-5,2025-05-5
14 mar 2025,09970,09971,09964,09970,09970,1211374,2025-05-5,2025-05-5
13 mar 2025,09970,09974,09959,09970,09970,1297400,2025-05-5,2025-05-5
12 mar 2025,09959,09975,09957,09970,09970,269551,2025-05-5,2025-05-5
11 mar 2025,09950,09975,09948,09959,09959,537790,2025-05-5,2025-05-5
10 mar 2025,09927,09973,09900,09950,09950,956053,2025-05-5,2025-05-5
9 mar 2025,09950,09970,09907,09927,09927,529451,2025-05-5,2025-05-5
8 mar 2025,09950,09967,09935,09950,09950,243806,2025-05-5,2025-05-5
7 mar 2025,09956,09974,09942,09950,09950,1107809,2025-05-5,2025-05-5
6 mar 2025,09933,09987,09886,09956,09956,317547,2025-05-5,2025-05-5
5 mar 2025,09962,09987,09910,09933,09933,2658196,2025-05-5,2025-05-5
4 mar 2025,09921,10039,09902,09962,09962,1851727,2025-05-5,2025-05-5
3 mar 2025,09951,09976,09912,09921,09921,1911660,2025-05-5,2025-05-5
2 mar 2025,09957,09959,09945,09951,09951,982083,2025-05-5,2025-05-5
1 mar 2025,09945,09957,09924,09957,09957,1099410,2025-05-5,2025-05-5
28 feb 2025,09898,09955,09898,09945,09945,2981511,2025-05-5,2025-05-5
27 feb 2025,09955,09959,09895,09898,09898,1520463,2025-05-5,2025-05-5
26 feb 2025,09955,09963,09949,09955,09955,2594037,2025-05-5,2025-05-5
25 feb 2025,09961,09964,09939,09955,09955,4730013,2025-05-5,2025-05-5
24 feb 2025,09961,09976,09959,09961,09961,4815980,2025-05-5,2025-05-5
